,Player,Age,Pos,Ht,Wt,Birth Date,Birth,Exp,PlayerLabel,Salary,Salary_number,Team
0,Dyson Daniels,22.0,G,6-8,199.0,"March 17, 2003",AU,3,"Dyson
Daniels","$7,707,709",7.707709,ATL
1,Jalen Johnson,23.0,F,6-9,220.0,"December 18, 2001",US,4,"Jalen
Johnson","$30,000,000",30.0,ATL
2,Kobe Bufkin,21.0,G,6-4,195.0,"September 21, 2003",US,2,"Kobe
Bufkin","$4,503,720",4.50372,ATL
3,Kristaps Porziņģis,30.0,F-C,7-2,240.0,"August 2, 1995",LV,9,"Kristaps
Porziņģis","$30,731,707",30.731707,ATL
4,Mouhamed Gueye,22.0,F,6-11,210.0,"November 9, 2002",SN,2,"Mouhamed
Gueye","$2,221,677",2.221677,ATL
5,Onyeka Okongwu,24.0,F,6-8,235.0,"December 11, 2000",US,5,"Onyeka
Okongwu","$15,000,000",15.0,ATL
6,Trae Young,26.0,G,6-1,164.0,"September 19, 1998",US,7,"Trae
Young","$45,999,660",45.99966,ATL
7,Vit Krejci,25.0,G,6-8,195.0,"June 19, 2000",CZ,4,"Vit
Krejci","$2,349,578",2.349578,ATL
8,Zaccharie Risacher,20.0,F,6-8,200.0,"April 8, 2005",ES,1,"Zaccharie
Risacher","$13,197,720",13.19772,ATL
0,Anfernee Simons,26.0,G,6-3,181.0,"June 8, 1999",US,7,"Anfernee
Simons","$27,678,571",27.678571,BOS
1,Baylor Scheierman,24.0,G,6-6,205.0,"September 26, 2000",US,1,"Baylor
Scheierman","$2,619,000",2.619,BOS
2,Derrick White,31.0,G,6-4,190.0,"July 2, 1994",US,8,"Derrick
White","$28,100,000",28.1,BOS
3,Jaylen Brown,28.0,F-G,6-6,223.0,"October 24, 1996",US,9,"Jaylen
Brown","$53,142,264",53.142264,BOS
4,Jayson Tatum,27.0,F,6-8,210.0,"March 3, 1998",US,8,"Jayson
Tatum","$54,126,450",54.12645,BOS
5,Jordan Walsh,21.0,G-F,6-7,205.0,"March 3, 2004",US,2,"Jordan
Walsh","$2,221,677",2.221677,BOS
6,Neemias Queta,26.0,C,7-0,245.0,"July 13, 1999",PT,4,"Neemias
Queta","$2,349,578",2.349578,BOS
7,Payton Pritchard,27.0,G,6-1,195.0,"January 28, 1998",US,5,"Payton
Pritchard","$7,232,143",7.232143,BOS
8,Sam Hauser,27.0,F,6-8,215.0,"December 8, 1997",US,4,"Sam
Hauser","$10,044,644",10.044644,BOS
9,Xavier Tillman Sr.,26.0,F,6-8,245.0,"January 12, 1999",US,5,"Xavier
Tillman Sr.","$2,546,675",2.546675,BOS
0,Dariq Whitehead,21.0,F,6-7,220.0,"August 1, 2004",US,2,"Dariq
Whitehead","$3,262,560",3.26256,BRK
1,Drew Timme,24.0,F,6-10,235.0,"September 9, 2000",US,1,"Drew
Timme","$1,955,377",1.955377,BRK
2,Haywood Highsmith,28.0,F,6-7,220.0,"December 9, 1996",US,5,"Haywood
Highsmith","$5,616,000",5.616,BRK
3,Jalen Wilson,24.0,F,6-8,225.0,"November 4, 2000",US,2,"Jalen
Wilson","$2,221,677",2.221677,BRK
4,Keon Johnson,23.0,G,6-5,186.0,"March 10, 2002",US,4,"Keon
Johnson","$2,349,578",2.349578,BRK
5,Michael Porter Jr.,27.0,F,6-10,218.0,"June 29, 1998",US,6,"Michael
Porter Jr.","$38,333,050",38.33305,BRK
6,Nic Claxton,26.0,C,6-11,215.0,"April 17, 1999",US,6,"Nic
Claxton","$25,352,272",25.352272,BRK
7,Noah Clowney,21.0,F,6-10,210.0,"July 14, 2004",US,2,"Noah
Clowney","$3,398,640",3.39864,BRK
8,Terance Mann,28.0,G-F,6-5,215.0,"October 18, 1996",US,6,"Terance
Mann","$15,500,000",15.5,BRK
9,Tyrese Martin,26.0,G,6-6,215.0,"March 7, 1999",US,2,"Tyrese
Martin","$2,191,897",2.191897,BRK
